swords|mec7.jpg|4|mec7_v.jpg;mec7_v_I.jpg;mec7_v_II.jpg;mec7_v_III.jpg|xi|Both swords are shown on the same photograph.|EP1~Viking-type one-hand sword~England · XIth century~From the battlefield of Hastings. Length: 90 cm.~319~~EP2~Norman-type one-hand sword~England · XIth century~From the battlefield of Hastings. Length: 105 cm, weight 1530 g.~319
swords|mec6.jpg|2|mec6_v.jpg;mec6_v_I.jpg|xii|Both versions are shown on the same photograph.|EP3~Broad one-hand sword~France · 2nd half XIIth century~Length: 95 cm, very broad blade (8 cm), sharp. Described in Viollet-le-Duc's "Encyclopédie médiévale".~460~~EP3a~Broad one-hand sword, smaller version~France · 2nd half XIIth century~Smaller version of EP3. Length: 90 cm, blade broad 5 cm.~308
swords|EP30m.jpg|3|EP30v.jpg;EP30v2.jpg;EP30v3.jpg|xv|The sword and its scabbard are shown on the same photograph.|EP30~Swiss "degen"~Switzerland · end of XVth-XVIth century~Length: approx. 95 cm.~299~~EP30b~Wooden scabbard with knife or pricker~Switzerland · end of XVth-XVIth century~Accompanies EP30.~169
daggers|DG15m.jpg|2|DG15v.jpg;DG15v2.jpg|rondel|Both daggers are shown on the same photograph.|DG15~Rondel dagger~Switzerland · XVth century~Standard model.~259~~DG16~Rondel dagger~France, England · XVth century~Standard model.~259
daggers|ear2m.jpg|1|ear1v.jpg|ear-dagger|The dagger and its scabbard are shown on the same photograph.|DG13~Venetian ear-dagger~Late XVth century~Bone grip.~300~~DG13b~Wooden scabbard~Late XVth century~Accompanies DG13.~85
rapiers|mecdyka1.jpg|5|mecdyka1_v.jpg;mecdyka1_v_I.jpg;mecdyka1_v_II.jpg;mecdyka1_v_III.jpg;mecdyka1_v_IV.jpg|rapier|The rapier and the dagger are shown on the same photograph.|RE3~Rapier~XVIth century~Length: 120 cm, weight approx. 1.2 kg.~500~~DR1~Dagger~XVIth century~Standard model.~165
daggers|flailM.jpg|1|flailV.jpg|other|The dagger and its scabbard are shown on the same photograph.|DG11~"Panzerstecher" dagger~Early XVth century~Steel.~265~~DG11a~Decorated leather scabbard~Early XVth century~Accompanies DG11.~95
polearms|sekerky1.jpg|1|sekerky1_v.jpg|axe|Both axes are shown on the same photograph.|HA1~Two-hand battleaxe (Danish type)~England · XIth century~From the battlefield of Hastings.~204~~HA2~One-hand battleaxe~England · XIth century~From the battlefield of Hastings.~165
leather-scabbards|brasny1.jpg|1|brasny1_v.jpg|purse|The three purses are shown on the same photograph.|E11~Purse~XVth century~Leather purse.~35~~E12~Purse~XIV-XVth century~Leather purse.~42~~E13~Purse~XIV-XVth century~Leather purse.~31
leather-scabbards|brasny2.jpg|1|brasny2_v.jpg|purse|Both pieces are shown on the same photograph.|E14~Purse~XVth century~Leather purse.~35~~E15~Belt~XVth century~Period buckle, length 150 cm.~35
leather-scabbards|brasny3.jpg|1|brasny3_v.jpg|purse|The three pieces are shown on the same photograph.|E1~Small leather bag~—~Compact storage pouch.~6~~E2~Belt~XVth century~Period buckle.~36~~E3~Purse~XVth century~Leather purse.~89
leather-scabbards|brasny4.jpg|1|brasny4_v.jpg|purse|Both pieces are shown on the same photograph.|E4~Belt~XVth century~Length 150 cm.~36~~E5~Purse~XVth century~Leather purse.~79
leather-scabbards|brasny5.jpg|1|brasny5_v.jpg|purse|Both pieces are shown on the same photograph.|E6~Belt~XVth century~Leather belt.~36~~E7~Purse~XVth century~Leather purse.~59
leather-scabbards|brasny6.jpg|1|brasny6_v.jpg|purse|Both purses are shown on the same photograph.|E8~Purse~XVth century~Leather purse.~66~~E9~Purse~XVth century~Leather purse.~29
leather-scabbards|E35m.jpg|1|E35v.jpg|scabbard|The complete set and the belt system alone are shown on the same photograph.|E35~Scabbard + suspension belt system~—~The E34 scabbard combined with a period suspension belt system.~189~~E35b~Suspension belt system~—~Belt system only.~45
tableware|noze01.jpg|1|noze02.jpg|knife|The knives and the scabbard are shown on the same photograph.|A11, A12, A13~Small knives~XVth century~Length approx. 20 cm. Price is per knife.~36~~A14~Leather scabbard~—~Accompanies the small knives A11-A13.~17
tableware|kuchyn.jpg|1|kuchyn2.jpg|kitchenware|The four pieces are shown on the same photograph.|A18~Kitchen knife~XVth century~Standard model.~119~~A19~Kitchen knife~XVth century~Standard model.~89~~A20~Wooden ladle~XVth century~Standard model.~20~~A21~Wooden strainer~XVth century~Standard model.~22
tableware|nozikrohm.jpg|1|nozikrohV.jpg|knife|The knife and its scabbard are shown on the same photograph.|A28~Personal knife~XVth century~Horn or bone grip. Length approx. 23 cm.~48~~A14b~Decorated leather scabbard~—~For A28.~25
tableware|body1m.jpg|2|body1v.jpg;body3v.jpg|knife|The knife and the pricker are shown on the same photograph.|A29~Knife~Late XV-early XVIth century~Exact copy, bone grip. Length approx. 14.5 cm. From the Arma Bohemia collection.~58~~A30~Pricker~Late XV-early XVIth century~Exact copy, bone grip. Length approx. 13.5 cm. From the Arma Bohemia collection.~58
tableware|n10m.jpg|1|n10v.jpg|knife|The knife and the pricker are shown on the same photograph.|A29b~Knife~Late XV-early XVIth century~Exact copy, horn grip. Length approx. 14.5 cm. From the Arma Bohemia collection.~58~~A30b~Pricker~Late XV-early XVIth century~Exact copy, horn grip. Length approx. 13.5 cm. From the Arma Bohemia collection.~58
tableware|cout1m.jpg|4|cout1o.jpg;cout1v.jpg;cout1vv.jpg;cout1vvv.jpg|knife|Both knives are shown on the same photograph.|A31~Knife~Slovakia · circa 1460-1470~Exact copy, bone grip. Length approx. 19 cm.~69~~A32~Knife~Slovakia · circa 1460-1470~Exact copy, bone grip. Length approx. 18.5 cm.~69
